genus,species,ovule_number,confidence,life_history,mating_system
Schiedea,Schiedea spergulina,14.4,1,woody,outcrossing
Schiedea,Schiedea verticillata,177,1,perennial,outcrossing
Silene,Silene diclinis,18,1,perennial,outcrossing
Silene,Silene dioica,280,1,perennial,outcrossing
Silene,Silene latifolia,540,1,perennial,outcrossing
Arenaria,Arenaria glabra,20,3,annual,mixed-mating
Silene,Silene pusilla,NA,4,perennial,mixed-mating
Silene,Silene veselskyi,NA,4,perennial,mixed-mating
Casuarina,Casuarina equisetifolia,1.5,1,woody,mixed-mating
Casuarina,Casuarina cristata,2,2,woody,outcrossing
Casuarina,Casuarina junghuhniana,2,2,woody,outcrossing
Ipomoea,Ipomoea cavalcantei,4,1,perennial,outcrossing
Ipomoea,Ipomoea cordatotriloba,4,1,annual,mixed-mating
Ipomoea,Ipomoea lacunosa,4,1,annual,selfing
Ipomoea,Ipomoea marabensis,4,1,perennial,outcrossing
Costus,Costus woodsonii,25.4,1,perennial,mixed-mating
Costus,Costus pulverulentus,23.9,3,perennial,mixed-mating
Costus,Costus scaber,10.7,3,perennial,mixed-mating
Costus,Costus allenii,NA,4,perennial,mixed-mating
Costus,Costus bracteatus,NA,4,perennial,mixed-mating
Costus,Costus elegans,NA,4,perennial,mixed-mating
Costus,Costus guanaiensis,NA,4,perennial,mixed-mating
Costus,Costus laevis,NA,4,perennial,mixed-mating
Costus,Costus lasius,NA,4,perennial,mixed-mating
Costus,Costus villosissimus,NA,4,perennial,mixed-mating
Sedum,Sedum albomarginatum,15,3,perennial,mixed-mating
Sedum,Sedum laxum,15,3,perennial,mixed-mating
Sedum,Sedum moranii,15,3,perennial,mixed-mating
Sedum,Sedum obtusatum,15,3,perennial,mixed-mating
Sedum,Sedum oregonense,15,3,perennial,mixed-mating
Erica,Erica abietina,116.9,1,woody,outcrossing
Erica,Erica coccinea,303,1,woody,outcrossing
Erica,Erica curviflora,86,1,woody,mixed-mating
Erica,Erica plukenetii,211,1,woody,outcrossing
Rhododendron,Rhododendron spiciferum,595,1,woody,mixed-mating
Rhododendron,Rhododendron spinuliferum,1350,1,woody,mixed-mating
Kalmia,Kalmia angustifolia,110,3,woody,mixed-mating
Kalmia,Kalmia cuneata,110,3,woody,mixed-mating
Kalmia,Kalmia hirsuta,110,3,woody,mixed-mating
Kalmia,Kalmia latifolia,110,3,woody,mixed-mating
Kalmia,Kalmia polifolia,110,3,woody,mixed-mating
Rhododendron,Rhododendron cyanocarpum,651,3,woody,mixed-mating
Rhododendron,Rhododendron delavayi,800,3,woody,mixed-mating
Chamaecrista,Chamaecrista blanchetii,12,1,woody,mixed-mating
Chamaecrista,Chamaecrista chapadae,7.5,1,woody,mixed-mating
Chamaecrista,Chamaecrista confertiformis,10.5,1,woody,mixed-mating
Chamaecrista,Chamaecrista glaucofilix,7.5,1,woody,mixed-mating
Leucaena,Leucaena collinsii,16.5,1,woody,outcrossing
Leucaena,Leucaena diversifolia,20,1,woody,outcrossing
Leucaena,Leucaena esculenta,18,1,woody,outcrossing
Leucaena,Leucaena greggii,22,1,woody,outcrossing
Leucaena,Leucaena lanceolata,19,1,woody,outcrossing
Leucaena,Leucaena leucocephala,26,1,woody,mixed-mating
Leucaena,Leucaena macrophylla,15,1,woody,outcrossing
Leucaena,Leucaena multicapitula,13,1,woody,outcrossing
Leucaena,Leucaena pallida,19,1,woody,mixed-mating
Leucaena,Leucaena pulverulenta,31,1,woody,outcrossing
Leucaena,Leucaena retusa,22,1,woody,outcrossing
Leucaena,Leucaena salvadorensis,23.5,1,woody,outcrossing
Leucaena,Leucaena shannonii,19,1,woody,outcrossing
Leucaena,Leucaena trichodes,14,1,woody,outcrossing
Lupinus,Lupinus palaestinus,6,3,annual,mixed-mating
Lupinus,Lupinus pilosus,6,3,annual,mixed-mating
Quercus,Quercus gambelii,6,1,woody,outcrossing
Quercus,Quercus grisea,6,1,woody,outcrossing
Quercus,Quercus petraea,6,1,woody,outcrossing
Quercus,Quercus pyrenaica,6,1,woody,outcrossing
Quercus,Quercus robur,6,1,woody,outcrossing
Centaurium,Centaurium erythraea,306.05,1,annual,mixed-mating
Centaurium,Centaurium littorale,233.5,1,annual,mixed-mating
Centaurium,Centaurium pulchellum,271.5,1,annual,selfing
Pelargonium,Pelargonium carneum,10,1,perennial,outcrossing
Pelargonium,Pelargonium pinnatum,10,1,perennial,outcrossing
Achimenes,Achimenes flava,304,3,perennial,mixed-mating
Achimenes,Achimenes patens,946,3,perennial,mixed-mating
Cyrtandra,Cyrtandra kauaiensis,2000,3,woody,outcrossing
Cyrtandra,Cyrtandra longifolia,260,3,woody,outcrossing
Cyrtandra,Cyrtandra paludosa,750,3,woody,outcrossing
Cyrtandra,Cyrtandra platyphylla,1700,3,woody,outcrossing
Achimenes,Achimenes antirrhina,NA,4,perennial,mixed-mating
Iris,Iris fulva,78,1,perennial,mixed-mating
Iris,Iris hexagona,114,1,perennial,mixed-mating
Iris,Iris atrofusca,165,3,perennial,outcrossing
Iris,Iris brevicaulis,165,3,perennial,mixed-mating
Iris,Iris mariae,165,3,perennial,outcrossing
Salvia,Salvia digitaloides,4,1,perennial,outcrossing
Salvia,Salvia elegans,4,1,woody,mixed-mating
Salvia,Salvia flava,4,1,perennial,outcrossing
Salvia,Salvia fulgens,4,1,woody,mixed-mating
Caiophora,Caiophora canarinoides,NA,4,perennial,outcrossing
Caiophora,Caiophora carduifolia,NA,4,perennial,outcrossing
Caiophora,Caiophora chuquitensis,NA,4,perennial,outcrossing
Caiophora,Caiophora cirsiifolia,NA,4,perennial,outcrossing
Caiophora,Caiophora deserticola,NA,4,perennial,outcrossing
Caiophora,Caiophora madrequisa,NA,4,perennial,outcrossing
Caiophora,Caiophora pentlandii,NA,4,perennial,outcrossing
Lythrum,Lythrum salicaria,100,1,perennial,outcrossing
Lythrum,Lythrum alatum,75,3,perennial,outcrossing
Hibiscus,Hibiscus laevis,75,1,perennial,mixed-mating
Hibiscus,Hibiscus moscheutos,130,1,perennial,mixed-mating
Trillium,Trillium apetalon,21,3,perennial,selfing
Trillium,Trillium tschonoskii,21,3,perennial,mixed-mating
Corymbia,Corymbia erythrophloia,131,1,woody,mixed-mating
Corymbia,Corymbia tessellaris,52,1,woody,mixed-mating
Eucalyptus,Eucalyptus globulus,261.028,1,woody,mixed-mating
Eucalyptus,Eucalyptus nitens,30.7,1,woody,outcrossing
Corymbia,Corymbia citriodora,24,3,woody,mixed-mating
Corymbia,Corymbia torelliana,60,3,woody,outcrossing
Corymbia,Corymbia clarksoniana,NA,4,woody,mixed-mating
Corymbia,Corymbia dallachiana,NA,4,woody,mixed-mating
Corymbia,Corymbia ficifolia,NA,4,woody,mixed-mating
Corymbia,Corymbia intermedia,NA,4,woody,mixed-mating
Corymbia,Corymbia maculata,NA,4,woody,mixed-mating
Corymbia,Corymbia ptychocarpa,NA,4,woody,mixed-mating
Corymbia,Corymbia trachyphloia,NA,4,woody,mixed-mating
Eucalyptus,Eucalyptus archeri,NA,4,woody,mixed-mating
Eucalyptus,Eucalyptus barberi,NA,4,woody,mixed-mating
Eucalyptus,Eucalyptus cordata,NA,4,woody,mixed-mating
Eucalyptus,Eucalyptus dalrympleana,NA,4,woody,mixed-mating
Eucalyptus,Eucalyptus gunnii,NA,4,woody,mixed-mating
Eucalyptus,Eucalyptus morrisbyi,NA,4,woody,mixed-mating
Eucalyptus,Eucalyptus ovata,NA,4,woody,mixed-mating
Eucalyptus,Eucalyptus urnigera,NA,4,woody,mixed-mating
Eucalyptus,Eucalyptus vernicosa,NA,4,woody,mixed-mating
Eucalyptus,Eucalyptus viminalis,NA,4,woody,mixed-mating
Clarkia,Clarkia exilis,115.4,1,annual,mixed-mating
Clarkia,Clarkia tembloriensis,91.6,1,annual,mixed-mating
Clarkia,Clarkia unguiculata,93.1,1,annual,mixed-mating
Oenothera,Oenothera hexandra,4,2,annual,selfing
Oenothera,Oenothera patriciae,4,2,annual,mixed-mating
Oenothera,Oenothera suffulta,4,2,annual,selfing
Clarkia,Clarkia australis,NA,4,annual,outcrossing
Clarkia,Clarkia borealis,NA,4,annual,outcrossing
Clarkia,Clarkia mildrediae,NA,4,annual,outcrossing
Clarkia,Clarkia mosquinii,NA,4,annual,outcrossing
Clarkia,Clarkia virgata,NA,4,annual,outcrossing
Dactylorhiza,Dactylorhiza incarnata,7756,1,perennial,mixed-mating
Dactylorhiza,Dactylorhiza maculata,2605.178,1,perennial,mixed-mating
Neotinea,Neotinea tridentata,4452,1,perennial,outcrossing
Orchis,Orchis provincialis,9478,1,perennial,mixed-mating
Platanthera,Platanthera bifolia,4004,1,perennial,mixed-mating
Platanthera,Platanthera chlorantha,5831,1,perennial,mixed-mating
Gymnadenia,Gymnadenia conopsea,2000,3,perennial,mixed-mating
Orchis,Orchis anthropophora,1000,3,perennial,outcrossing
Cattleya,Cattleya pfisteri,3500000,4,perennial,outcrossing
Cattleya,Cattleya sincorana,3500000,4,perennial,outcrossing
Neotinea,Neotinea ustulata,NA,4,perennial,mixed-mating
Ophrys,Ophrys holoserica,NA,4,perennial,outcrossing
Ophrys,Ophrys tenthredinifera,NA,4,perennial,outcrossing
Orchis,Orchis italica,NA,4,perennial,outcrossing
Orchis,Orchis mascula,NA,4,perennial,mixed-mating
Orchis,Orchis pauciflora,NA,4,perennial,mixed-mating
Chiloglottis,Chiloglottis jeanesii,NA,5,perennial,mixed-mating
Chiloglottis,Chiloglottis valida,NA,5,perennial,mixed-mating
Dendrobium,Dendrobium aphyllum,NA,5,perennial,outcrossing
