O,psi,alpha,mean_K,Omega,mean_Sz_perflower,Sz_at_meanK,frac_competitive,Ostar
244.0,0.001,0.75,0.1283094262295082,0.0,0.0,0.0,0.0,0.0625
365.0,0.001,0.75,0.11533287671232878,0.0,0.0,0.0,0.0,0.0625
544.0,0.001,0.75,0.10664613970588235,0.0,0.0,0.0,0.0,0.0625
812.0,0.001,0.75,0.09466810344827588,0.0,0.0,0.0,0.0,0.0625
1212.0,0.001,0.75,0.0847743399339934,0.0,0.0,0.0,0.0,0.0625
1809.0,0.001,0.75,0.07720425649530127,0.0,0.0,0.0,0.0,0.0625
2701.0,0.001,0.75,0.06928637541651242,0.0,0.0,0.0,0.0,0.0625
4031.0,0.001,0.75,0.06221074175142644,0.0,0.0,0.0,0.0,0.0625
6016.0,0.001,0.75,0.055630069813829786,0.0,0.0,0.0,0.0,0.0625
8979.0,0.001,0.75,0.05121127074284442,0.0,0.0,0.0,0.0,0.0625
13400.0,0.001,0.75,0.04605712686567164,0.0,0.0,0.0,0.0,0.0625
20000.0,0.001,0.75,0.040981575,0.0,0.0,0.0,0.0,0.0625
2.0,0.001,1.0,0.511,0.0452202380952381,0.07331921387007287,0.0,0.1065,
3.0,0.001,1.0,0.5053333333333334,0.03661428571428572,0.05996964445841194,0.0,0.103,
4.0,0.001,1.0,0.494125,0.027326190476190476,0.045154871858717555,0.0,0.086,
7.0,0.001,1.0,0.49,0.021995964452214453,0.0371980947911047,0.0,0.0885,
10.0,0.001,1.0,0.49029999999999996,0.017050829615781048,0.02892123547677432,0.0,0.0715,
15.0,0.001,1.0,0.4907,0.01534738915833274,0.026461351751933083,0.0,0.075,
22.0,0.001,1.0,0.48597727272727276,0.012649362503809063,0.021937258095493562,0.0,0.067,
33.0,0.001,1.0,0.4827424242424242,0.010363310956320313,0.01811187699698898,0.0,0.058,
49.0,0.001,1.0,0.4986632653061225,0.012055502566527768,0.021116324231685704,0.0,0.072,
73.0,0.001,1.0,0.5005958904109589,0.011500670071411076,0.02012948391717052,0.0,0.0665,
110.0,0.001,1.0,0.49510454545454546,0.01135161827013054,0.019747824848293502,0.0,0.067,
164.0,0.001,1.0,0.5021067073170732,0.010032922708515938,0.0177711677649979,0.0,0.067,
244.0,0.001,1.0,0.4971004098360655,0.010891767166152803,0.019000692320743313,0.0,0.066,
365.0,0.001,1.0,0.4914890410958905,0.009756955077767393,0.017139210828432738,0.0,0.059,
544.0,0.001,1.0,0.49967830882352937,0.010693139430966945,0.01870069449180679,0.0,0.065,
812.0,0.001,1.0,0.5005831280788178,0.00922648212627634,0.01629386830892946,0.0,0.062,
1212.0,0.001,1.0,0.5015589933993398,0.010799360082744574,0.018729368064377645,0.0,0.06,
1809.0,0.001,1.0,0.5025619126589276,0.008850199477870213,0.015679651788701954,0.0,0.0615,
2701.0,0.001,1.0,0.49602665679378016,0.009796849271743383,0.017229533220813012,0.0,0.061,
4031.0,0.001,1.0,0.5099939221036964,0.011665103539231192,0.020151457411846756,0.0,0.0635,
6016.0,0.001,1.0,0.4928046875,0.01038928118309529,0.01822005639084992,0.0,0.0625,
8979.0,0.001,1.0,0.4825395923822252,0.008752928554506134,0.015536697638330509,0.0,0.06,
13400.0,0.001,1.0,0.49788302238805965,0.011331794370869959,0.019729703185159514,0.0,0.0685,
20000.0,0.001,1.0,0.49072905,0.009154511906172048,0.01601805393243975,0.0,0.057,
2.0,0.001,1.25,0.60725,0.06401547619047619,0.10398107415887296,0.0,0.1535,16.0
3.0,0.001,1.25,0.676,0.0709263195138195,0.11611067536287163,0.0,0.188,16.0
4.0,0.001,1.25,0.693875,0.06462033799533799,0.10643725268979945,0.0,0.1915,16.0
7.0,0.001,1.25,0.8025714285714287,0.08247353606740722,0.13646203713189783,0.0,0.252,16.0
10.0,0.001,1.25,0.8876000000000001,0.10317642662264284,0.17049261026215326,0.0,0.3215,16.0
15.0,0.001,1.25,0.9742,0.12270040695238492,0.2033144235462873,0.0,0.3945,16.0
22.0,0.001,1.25,1.0617727272727273,0.14562965548785467,0.24065914280485082,0.12346024943947981,0.453,16.0
33.0,0.001,1.25,1.187378787878788,0.18115495087073202,0.298708530264923,0.2863040502468791,0.531,16.0
49.0,0.001,1.25,1.2960408163265307,0.21463628663267,0.3529240161836484,0.3920213913741018,0.5865,16.0
73.0,0.001,1.25,1.4700342465753424,0.2624535281527029,0.4311021239921057,0.5255240199235912,0.6605,16.0
110.0,0.001,1.25,1.5968818181818183,0.29417345090118385,0.4836135500594419,0.6049058660832999,0.7025,16.0
164.0,0.001,1.25,1.8017439024390243,0.34457601550242767,0.5668987223902545,0.7119456013732488,0.7595,16.0
244.0,0.001,1.25,2.0086065573770493,0.39148774293247074,0.6453462705294458,0.8013065255595957,0.8045,16.0
365.0,0.001,1.25,2.1946712328767126,0.4289218570661719,0.7094563918788849,0.8701310998469058,0.8375,16.0
544.0,0.001,1.25,2.3730073529411766,0.456351767228037,0.7587866678228579,0.9282618821793566,0.868,16.0
812.0,0.001,1.25,2.7221878078817734,0.5168527265231513,0.8643900053511238,1.025396023657104,0.9075,16.0
1212.0,0.001,1.25,2.934929867986799,0.5385578834506342,0.9064880453025046,1.076262536320438,0.913,16.0
1809.0,0.001,1.25,3.3667252625760087,0.5910571755333486,1.0049831246503598,1.16528935589624,0.934,16.0
2701.0,0.001,1.25,3.5641397630507217,0.6080845848570938,1.0394119593004163,1.200960415244291,0.9435,16.0
4031.0,0.001,1.25,3.9305425452741254,0.6464113067348242,1.1132111663917594,1.2606260960440931,0.965,16.0
6016.0,0.001,1.25,4.431158660239362,0.6771152149662171,1.182095931595641,1.331214740347094,0.969,16.0
8979.0,0.001,1.25,4.856957289230426,0.7069567134219303,1.2449662847716065,1.3835414438385327,0.975,16.0
13400.0,0.001,1.25,5.368629962686567,0.7323761397939212,1.3040868314816152,1.4391285892714294,0.9815,16.0
20000.0,0.001,1.25,5.92603905,0.74864614903853,1.3508557067749871,1.4925004910725561,0.984,16.0
2.0,0.003,0.25,0.898,0.12737218614718615,0.20699760816451102,0.0,0.276,1.7170713638299977
3.0,0.003,0.25,0.6725,0.06936823593073593,0.11360470790059038,0.0,0.187,1.7170713638299977
4.0,0.003,0.25,0.5315,0.03408258963258963,0.056457731353894716,0.0,0.108,1.7170713638299977
7.0,0.003,0.25,0.3531428571428571,0.006589947552447552,0.011359778037214528,0.0,0.031,1.7170713638299977
10.0,0.003,0.25,0.26315000000000005,0.0008783716283716282,0.0015732586069654496,0.0,0.0055,1.7170713638299977
15.0,0.003,0.25,0.19996666666666668,0.0002634803921568628,0.0005046569338464075,0.0,0.0025,1.7170713638299977
22.0,0.003,0.25,0.1456818181818182,0.0,0.0,0.0,0.0,1.7170713638299977
33.0,0.003,0.25,0.11146969696969697,0.0,0.0,0.0,0.0,1.7170713638299977
49.0,0.003,0.25,0.08189795918367347,0.0,0.0,0.0,0.0,1.7170713638299977
73.0,0.003,0.25,0.059876712328767116,0.0,0.0,0.0,0.0,1.7170713638299977
110.0,0.003,0.25,0.04388636363636363,0.0,0.0,0.0,0.0,1.7170713638299977
164.0,0.003,0.25,0.03343902439024391,0.0,0.0,0.0,0.0,1.7170713638299977
244.0,0.003,0.25,0.025346311475409836,0.0,0.0,0.0,0.0,1.7170713638299977
365.0,0.003,0.25,0.017769863013698633,0.0,0.0,0.0,0.0,1.7170713638299977
544.0,0.003,0.25,0.013260110294117647,0.0,0.0,0.0,0.0,1.7170713638299977
812.0,0.003,0.25,0.009733374384236453,0.0,0.0,0.0,0.0,1.7170713638299977
1212.0,0.003,0.25,0.007253712871287128,0.0,0.0,0.0,0.0,1.7170713638299977
1809.0,0.003,0.25,0.0053242122719734655,0.0,0.0,0.0,0.0,1.7170713638299977
2701.0,0.003,0.25,0.004056090336912255,0.0,0.0,0.0,0.0,1.7170713638299977
4031.0,0.003,0.25,0.002941825849665095,0.0,0.0,0.0,0.0,1.7170713638299977
6016.0,0.003,0.25,0.0021831781914893617,0.0,0.0,0.0,0.0,1.7170713638299977
8979.0,0.003,0.25,0.001625292348813899,0.0,0.0,0.0,0.0,1.7170713638299977
13400.0,0.003,0.25,0.0011935447761194028,0.0,0.0,0.0,0.0,1.7170713638299977
20000.0,0.003,0.25,0.00090915,0.0,0.0,0.0,0.0,1.7170713638299977
2.0,0.003,0.5,1.069,0.16557865745365746,0.26960279005157095,0.1348076803728843,0.345,2.25
3.0,0.003,0.5,0.8795,0.11825050782550783,0.19304713239569912,0.0,0.2855,2.25
4.0,0.003,0.5,0.73425,0.07535248085248085,0.12378889143921395,0.0,0.211,2.25
7.0,0.003,0.5,0.5635714285714287,0.033305115325495765,0.056079924898193315,0.0,0.128,2.25
10.0,0.003,0.5,0.4703,0.014406248378384603,0.024692777307903244,0.0,0.066,2.25
15.0,0.003,0.5,0.3852333333333334,0.004258461284624799,0.00751681573674653,0.0,0.025,2.25
22.0,0.003,0.5,0.3138636363636364,0.001077127058318422,0.0019329248057021373,0.0,0.0075,2.25
33.0,0.003,0.5,0.2602121212121212,8.655462184873949e-05,0.00019055562062324477,0.0,0.002,2.25
49.0,0.003,0.5,0.21109183673469387,0.0,0.0,0.0,0.0,2.25
73.0,0.003,0.5,0.1715753424657534,0.0,0.0,0.0,0.0,2.25
110.0,0.003,0.5,0.14481818181818182,0.0,0.0,0.0,0.0,2.25
164.0,0.003,0.5,0.1173079268292683,0.0,0.0,0.0,0.0,2.25
244.0,0.003,0.5,0.0967438524590164,0.0,0.0,0.0,0.0,2.25
365.0,0.003,0.5,0.07769589041095891,0.0,0.0,0.0,0.0,2.25
544.0,0.003,0.5,0.06409191176470588,0.0,0.0,0.0,0.0,2.25
812.0,0.003,0.5,0.051383004926108374,0.0,0.0,0.0,0.0,2.25
1212.0,0.003,0.5,0.04251856435643565,0.0,0.0,0.0,0.0,2.25
1809.0,0.003,0.5,0.034637645107794365,0.0,0.0,0.0,0.0,2.25
2701.0,0.003,0.5,0.028706590151795632,0.0,0.0,0.0,0.0,2.25
4031.0,0.003,0.5,0.02355135202183081,0.0,0.0,0.0,0.0,2.25
6016.0,0.003,0.5,0.019076545877659577,0.0,0.0,0.0,0.0,2.25
8979.0,0.003,0.5,0.016377826038534358,0.0,0.0,0.0,0.0,2.25
13400.0,0.003,0.5,0.012932462686567163,0.0,0.0,0.0,0.0,2.25
20000.0,0.003,0.5,0.010546400000000001,0.0,0.0,0.0,0.0,2.25
2.0,0.003,0.75,1.21025,0.20003441558441556,0.326585217398802,0.3105259277017063,0.402,5.0625
3.0,0.003,0.75,1.161,0.18767622671446202,0.30707253194115247,0.2567432699503808,0.419,5.0625
4.0,0.003,0.75,1.064625,0.15886425274072333,0.259917694374455,0.1279812838447676,0.39,5.0625
7.0,0.003,0.75,0.9342857142857143,0.11797528002319917,0.19417704649317313,0.0,0.3405,5.0625
10.0,0.003,0.75,0.8415,0.09322347496538642,0.15450523942014663,0.0,0.2965,5.0625
15.0,0.003,0.75,0.7649000000000001,0.06631548744531815,0.11086635754306226,0.0,0.242,5.0625
22.0,0.003,0.75,0.700590909090909,0.0503567139887525,0.0847910909730443,0.0,0.2,5.0625
33.0,0.003,0.75,0.6401666666666667,0.03580969086464016,0.0609494767113148,0.0,0.163,5.0625
49.0,0.003,0.75,0.5736326530612244,0.021137823195384736,0.03637217197183763,0.0,0.109,5.0625
73.0,0.003,0.75,0.5147534246575342,0.01186530354410263,0.02063649164585163,0.0,0.0715,5.0625
110.0,0.003,0.75,0.4546409090909091,0.006609185774472716,0.011601844528473801,0.0,0.041,5.0625
164.0,0.003,0.75,0.41395426829268295,0.003909143342700648,0.007026126293203383,0.0,0.0285,5.0625
244.0,0.003,0.75,0.3744938524590164,0.0016679526069719795,0.0030631036466781383,0.0,0.014,5.0625
365.0,0.003,0.75,0.3408616438356164,0.0008293228831512947,0.0015310567630572166,0.0,0.0075,5.0625
544.0,0.003,0.75,0.313359375,9.548440957252311e-05,0.00020764109616358922,0.0,0.0025,5.0625
812.0,0.003,0.75,0.2770141625615763,5.2090584028605484e-05,0.00011117882281230108,0.0,0.001,5.0625
1212.0,0.003,0.75,0.2522000825082508,4.910714285714286e-05,9.603208362317604e-05,0.0,0.0005,5.0625
1809.0,0.003,0.75,0.23010641238253177,8.156606851549754e-06,2.068646425155498e-05,0.0,0.0005,5.0625
2701.0,0.003,0.75,0.20590355423917067,0.0,0.0,0.0,0.0,5.0625
4031.0,0.003,0.75,0.19002790870751676,0.0,0.0,0.0,0.0,5.0625
6016.0,0.003,0.75,0.17157039561170212,0.0,0.0,0.0,0.0,5.0625
8979.0,0.003,0.75,0.15729184764450382,0.0,0.0,0.0,0.0,5.0625
13400.0,0.003,0.75,0.14229391791044776,0.0,0.0,0.0,0.0,5.0625
20000.0,0.003,0.75,0.12437835,0.0,0.0,0.0,0.0,5.0625
2.0,0.003,1.0,1.5045,0.2684908726077844,0.44053063469734466,0.5483198231941138,0.504,
3.0,0.003,1.0,1.4905,0.2692154947735443,0.44067624123458426,0.5391804553246328,0.5485,
4.0,0.003,1.0,1.503125,0.2663828577833726,0.4378761462841629,0.5474292912996059,0.572,
7.0,0.003,1.0,1.4573571428571426,0.2616052520781462,0.4289084079671694,0.5168810460930665,0.603,
10.0,0.003,1.0,1.5252999999999999,0.2757896822022531,0.4533954536213465,0.5616082855806983,0.636,
15.0,0.003,1.0,1.5488333333333335,0.2835679063022968,0.4653874845039832,0.5762444736927291,0.658,
22.0,0.003,1.0,1.5337727272727275,0.280854309661021,0.4609611015622603,0.5669253587355213,0.664,
33.0,0.003,1.0,1.5007727272727271,0.27243737969491816,0.44770656368248046,0.5459022721638033,0.675,
49.0,0.003,1.0,1.489204081632653,0.26667596028666923,0.43774224305186216,0.5383262786267888,0.6505,
73.0,0.003,1.0,1.495013698630137,0.27025895619343876,0.4429557313838962,0.5421446466490958,0.6525,
110.0,0.003,1.0,1.5005954545454545,0.2732334921634448,0.4478125983225616,0.5457870104420158,0.668,
164.0,0.003,1.0,1.5121128048780488,0.27530202359874867,0.45220424334665305,0.5532229072564755,0.6905,
244.0,0.003,1.0,1.459219262295082,0.25653906253554826,0.4218720124717291,0.5181596525483808,0.6545,
365.0,0.003,1.0,1.554194520547945,0.28656502096079767,0.4703822185423277,0.5795219302336374,0.6985,
544.0,0.003,1.0,1.463236213235294,0.26079537855432566,0.42831322192047194,0.5209071718384232,0.665,
812.0,0.003,1.0,1.5237758620689656,0.2769140511054464,0.45439056100008934,0.5606460124432623,0.691,
1212.0,0.003,1.0,1.4648638613861384,0.2614525215203732,0.4287145975638875,0.5220163250583649,0.6505,
1809.0,0.003,1.0,1.482765616362631,0.2639705535769706,0.4334700371475278,0.53406155469837,0.6705,
2701.0,0.003,1.0,1.51770788596816,0.27581500240980894,0.45273306446531225,0.5567972006698547,0.6855,
4031.0,0.003,1.0,1.5094002728851403,0.2743557458713709,0.4505977107699505,0.551481180010816,0.6895,
6016.0,0.003,1.0,1.531027260638298,0.2785220682216849,0.4571330565205712,0.5652083853934878,0.685,
8979.0,0.003,1.0,1.5142223521550287,0.2736827786868836,0.449270589406071,0.5545734327502571,0.6725,
13400.0,0.003,1.0,1.4657347388059703,0.2599012232416871,0.42682619045873976,0.5226088084945437,0.6545,
20000.0,0.003,1.0,1.5134854,0.2736338277684103,0.44959535830784136,0.5541020370003662,0.681,
2.0,0.003,1.25,1.80775,0.32731189694808116,0.5409684876052686,0.7147722756503349,0.585,0.19753086419753085
3.0,0.003,1.25,1.9545,0.3676734237426735,0.6071966569015274,0.7794007789229549,0.683,0.19753086419753085
4.0,0.003,1.25,2.14475,0.40024210051729797,0.6649409596790721,0.8525686482922328,0.725,0.19753086419753085
7.0,0.003,1.25,2.449071428571429,0.4627649072588952,0.7711908156075601,0.9511225918985399,0.815,0.19753086419753085
10.0,0.003,1.25,2.6149000000000004,0.4893758975258031,0.8188913776472702,0.9975535868081222,0.856,0.19753086419753085
15.0,0.003,1.25,2.9822999999999995,0.5415778315314725,0.9131633332293247,1.0868888606756562,0.8915,0.19753086419753085
22.0,0.003,1.25,3.244181818181818,0.5789804253637998,0.9810690094283482,1.1416875985220407,0.9235,0.19753086419753085
33.0,0.003,1.25,3.556439393939394,0.607252295271261,1.0375459660331183,1.1996193413080414,0.94,0.19753086419753085
49.0,0.003,1.25,3.9507551020408163,0.6431379814502757,1.1099261759339998,1.263700979778492,0.9565,0.19753086419753085
73.0,0.003,1.25,4.370219178082191,0.6747514491918418,1.175214986271756,1.3231933107586982,0.9665,0.19753086419753085
110.0,0.003,1.25,4.853768181818182,0.7052582921626387,1.241638869329308,1.3831717652008788,0.982,0.19753086419753085
164.0,0.003,1.25,5.368045731707318,0.7276199388730125,1.2978485400182778,1.4390690161815174,0.9765,0.19753086419753085
