i,j,O_i,O_j,K_i,K_j,F_i,F_j,G,D,dlogO,GxdlogO,A_sobelchen,A_oneminus_hc
0,20,6.535981386809407,16775.85071809021,3.9115113667256542,0.07720718595173334,1.3233540880061654,0.07433749168006909,0.12289157187571864,0.6144578593785932,7.850373164243731,0.9647446979648713,0.36272403736628206,0.5118892025984201
4,84,7.811498145098851,110.92667875983251,3.5779381841489326,0.949471635112423,1.2828891486522795,0.6438248965064095,0.13369547931136977,0.6684773965568489,2.6532726619266596,0.3547305602800387,0.19238064917881326,0.22607403628650669
76,110,187.8217141024258,18.97963110420517,0.7296710237396979,2.29538805074504,0.5346219506994184,1.0687686530891674,0.13695712258503331,0.6847856129251666,-2.2921268266730936,-0.3139230947811103,-0.16940101980464595,-0.21242736533580908
13,19,25.25022536746327,314.29036775894906,1.9900654993306204,0.5640718988663178,0.9975101910805609,0.43998134304714104,0.0760973243943069,0.3804866219715345,2.5214822155615986,0.19187805011206666,0.10401538713312533,0.16167871714142124
101,82,118.455099209485,11615.929680492683,0.9188045127782668,0.09278398322068948,0.6295759162738185,0.08867038735445555,0.11387579798741654,0.5693789899370827,4.585598704223464,0.5221887116935102,0.15210055260495728,0.2520197607352326
66,116,3.5376180102113692,196.83586202349264,5.316729091804491,0.7127674963101633,1.4533076256054878,0.5254910325191167,0.16294897352346116,0.8147448676173058,4.018916571556194,0.6548783300115096,0.320499994875228,0.345690289262799
30,12,147.68038729061078,896.1935330918731,0.8228839443404541,0.33404047850880053,0.5830094049670291,0.2862336635414449,0.15451344575170944,0.7725672287585472,1.8031059931554907,0.2786041200580131,0.11135630524143765,0.16424440418935427
76,69,187.8217141024258,2.56332481115055,0.7296710237396979,6.245945341715144,0.5346219506994184,1.5149131076864493,0.14843613689570254,0.7421806844785127,-4.294188013443632,-0.6374126798194039,-0.3137549532756976,-0.3476108098677191
19,35,314.29036775894906,7.794624451253165,0.5640718988663178,3.581808825739115,0.43998134304714104,1.283386420983284,0.07154203331143828,0.3577101665571914,-3.696882973496761,-0.2644825248383943,-0.14706111960851875,-0.22250991836082068
38,40,8067.784894509908,2.7122439253325923,0.11133272646697859,6.072054031321146,0.105462038333748,1.5044631782097568,0.10566222651668143,0.5283111325834071,-7.997857928152933,-0.8450714760527317,-0.34988149137589125,-0.49414655127543805
