family,genus,species1,species2,duplicate,remove,PI_name,intraspecific_value_sp1,intraspecific_value_sp2,interspecific_value_sp1_sp2,interspecific_value_sp2_sp1,sp1_hybrid_proportion,sp2_hybrid_proportion,RI,measure,remove_flag,is_PI_from_PI_name,sp1_key,sp2_key,pair_key,ovule_sp1,ovule_sp2,confidence_sp1,confidence_sp2,life_history_sp1,life_history_sp2,mating_system_sp1,mating_system_sp2,gd_rows,gd_nonmissing,K2P_Distance,K2P_min,K2P_max,has_both_ovule_numbers,has_nonmissing_K2P,model_ready_PI_K2P_ovules,mean_log10_ovules,abs_log10_ovule_difference,signed_log10_ovule_ratio_sp1_minus_sp2,best_confidence_pair
Calceolariaceae,Calceolaria,Calceolaria arachnoidea,Calceolaria filicaulis,no,no,Calceolaria,303.35,453.62,25.97,117.75,,,0.6809,seed number per fruit,False,True,calceolaria arachnoidea,calceolaria filicaulis,calceolaria arachnoidea || calceolaria filicaulis,405.0,558.0,3.0,3.0,perennial,perennial,mixed-mating,outcrossing,1.0,1.0,0.089405,0.089405,0.089405,True,True,True,2.6770446110761235,0.13917917572290994,-0.13917917572290994,3.0
Orchidaceae,Cattleya,Cattleya sincorana,Cattleya pfisteri,no,no,Cattleya,0.3784,0.441,0.06916,0.253708,,,0.4347,seed set,False,True,cattleya sincorana,cattleya pfisteri,cattleya pfisteri || cattleya sincorana,3500000.0,3500000.0,4.0,4.0,perennial,perennial,outcrossing,outcrossing,1.0,1.0,0.043864,0.043864,0.043864,True,True,True,6.544068044350276,0.0,0.0,4.0
Gentianaceae,Centaurium,Centaurium erythraea,Centaurium pulchellum,no,no,Centaurium,0.867,0.89,0.349,0.404,,,0.4,seed set,False,True,centaurium erythraea,centaurium pulchellum,centaurium erythraea || centaurium pulchellum,306.05,271.5,1.0,1.0,annual,annual,mixed-mating,selfing,1.0,1.0,0.051814,0.051814,0.051814,True,True,True,2.459781108880036,0.05202254991034039,0.05202254991034039,1.0
Fabaceae,Chamaecrista,Chamaecrista chapadae,Chamaecrista glaucofilix,no,no,Chamaecrista,0.3572,2.2752,0.0805,0.0,,,0.9407,seed set,False,True,chamaecrista chapadae,chamaecrista glaucofilix,chamaecrista chapadae || chamaecrista glaucofilix,7.5,7.5,1.0,1.0,woody,woody,mixed-mating,mixed-mating,1.0,1.0,0.134371,0.134371,0.134371,True,True,True,0.8750612633917001,0.0,0.0,1.0
Myrtaceae,Corymbia,Corymbia torelliana,Corymbia citriodora,yes1,no,Corymbia,36.9,6.6,19.5,5.0,,,0.2794,seed number per fruit,False,True,corymbia torelliana,corymbia citriodora,corymbia citriodora || corymbia torelliana,60.0,24.0,3.0,3.0,woody,woody,outcrossing,mixed-mating,2.0,2.0,0.032316,0.032316,0.032316,True,True,True,1.5791812460476249,0.3979400086720377,0.3979400086720377,3.0
Costaceae,Costus,Costus scaber,Costus woodsonii,no,no,Costus03,6.1,8.8,6.5,2.1,,,0.2681,seed number per fruit,False,True,costus scaber,costus woodsonii,costus scaber || costus woodsonii,10.7,25.4,3.0,1.0,perennial,perennial,mixed-mating,mixed-mating,1.0,1.0,0.004,0.004,0.004,True,True,True,1.2171087471525739,0.37544993893472833,-0.37544993893472833,3.0
Gesneriaceae,Cyrtandra,Cyrtandra kauaiensis,Cyrtandra longifolia,no,no,Cyrtandra,56.0,32.2,48.7,20.8,,,0.1186,fruit set,False,True,cyrtandra kauaiensis,cyrtandra longifolia,cyrtandra kauaiensis || cyrtandra longifolia,2000.0,260.0,3.0,3.0,woody,woody,outcrossing,outcrossing,1.0,1.0,0.035383,0.035383,0.035383,True,True,True,2.8580016718173997,0.8860566476931635,0.8860566476931635,3.0
Orchidaceae,Dactylorhiza,Dactylorhiza maculata,Dactylorhiza incarnata,no,no,Dactylorhiza,58.31,49.42,43.44,35.23,,,0.1559,seed set,False,True,dactylorhiza maculata,dactylorhiza incarnata,dactylorhiza incarnata || dactylorhiza maculata,2605.178,7756.0,1.0,1.0,perennial,perennial,mixed-mating,mixed-mating,1.0,1.0,0.009175,0.009175,0.009175,True,True,True,3.652737601214347,0.47380039838464105,-0.47380039838464105,1.0
Caryophyllaceae,Dianthus,Dianthus carthusianorum,Dianthus sylvestris,no,no,Dianthus,34.8384,27.5035,30.465,38.4588,,,-0.0501,seed set,False,True,dianthus carthusianorum,dianthus sylvestris,dianthus carthusianorum || dianthus sylvestris,75.0,81.0,1.0,1.0,perennial,perennial,mixed-mating,mixed-mating,1.0,1.0,0.004082,0.004082,0.004082,True,True,True,1.8917731411351748,0.03342375548694965,-0.03342375548694965,1.0
Phrymaceae,Diplacus,Diplacus johnstonii,Diplacus brevipes,no,no,Diplacus,0.39146,0.86877,0.0,0.0,,,1.0,seed set,False,True,diplacus johnstonii,diplacus brevipes,diplacus brevipes || diplacus johnstonii,42.0,433.0,3.0,3.0,annual,annual,outcrossing,outcrossing,1.0,1.0,0.019733,0.019733,0.019733,True,True,True,2.1298685933756327,1.013238605955465,-1.013238605955465,3.0
Ericaceae,Erica,Erica plukenetii,Erica coccinea,no,no,Erica,,,,,,,0.78,seed set,False,True,erica plukenetii,erica coccinea,erica coccinea || erica plukenetii,211.0,303.0,1.0,1.0,woody,woody,outcrossing,outcrossing,1.0,1.0,0.035774,0.035774,0.035774,True,True,True,2.402862541899999,0.15716017320461217,-0.15716017320461217,1.0
Phrymaceae,Erythranthe,Erythranthe lutea,Erythranthe cuprea,no,no,Erythranthe03,169.0,55.0,98.0,52.0,,,0.1979,seed number per fruit,False,True,erythranthe lutea,erythranthe cuprea,erythranthe cuprea || erythranthe lutea,2140.32,144.0,1.0,3.0,perennial,annual,mixed-mating,mixed-mating,1.0,1.0,0.004343,0.004343,0.004343,True,True,True,2.744420600910222,1.1721162176299447,1.1721162176299447,3.0
Phrymaceae,Erythranthe,Erythranthe verbenacea,Erythranthe lewisii,yes2,no,Erythranthe04,,,,,0.056,0.5,0.444,pollen competition,False,True,erythranthe verbenacea,erythranthe lewisii,erythranthe lewisii || erythranthe verbenacea,1000.0,561.0,3.0,1.0,perennial,perennial,mixed-mating,mixed-mating,2.0,2.0,0.003872,0.003872,0.003872,True,True,True,2.8744814306280806,0.2510371387438384,0.2510371387438384,3.0
Myrtaceae,Eucalyptus,Eucalyptus globulus,Eucalyptus nitens,no,no,Eucalyptus,23.7,9.0,0.0,5.4,,,0.7165,seed set,False,True,eucalyptus globulus,eucalyptus nitens,eucalyptus globulus || eucalyptus nitens,261.028,30.7,1.0,1.0,woody,woody,mixed-mating,outcrossing,1.0,1.0,0.007722,0.007722,0.007722,True,True,True,1.9519127356477073,0.9295487203410415,0.9295487203410415,1.0
Asteraceae,Helianthus,Helianthus mollis,Helianthus occidentalis,no,no,Helianthus02,,,,,0.2,,0.6,pollen competition,False,True,helianthus mollis,helianthus occidentalis,helianthus mollis || helianthus occidentalis,1.0,1.0,1.0,1.0,perennial,perennial,outcrossing,outcrossing,1.0,1.0,0.007794,0.007794,0.007794,True,True,True,0.0,0.0,0.0,1.0
Asteraceae,Helianthus,Helianthus petiolaris,Helianthus annuus,yes2,no,Helianthus01,,,,,0.004,0.029,0.967,pollen competition,False,True,helianthus petiolaris,helianthus annuus,helianthus annuus || helianthus petiolaris,1.0,1.0,1.0,1.0,annual,annual,outcrossing,outcrossing,2.0,2.0,0.003857,0.003857,0.003857,True,True,True,0.0,0.0,0.0,1.0
Malvaceae,Hibiscus,Hibiscus moscheutos,Hibiscus laevis,yes2,no,Hibiscus,,,,,0.08,0.074,0.846,pollen competition,False,True,hibiscus moscheutos,hibiscus laevis,hibiscus laevis || hibiscus moscheutos,130.0,75.0,1.0,1.0,perennial,perennial,mixed-mating,mixed-mating,2.0,2.0,0.0,0.0,0.0,True,True,True,1.9945023078492683,0.23888208891513685,0.23888208891513685,1.0
Solanaceae,Iochroma,Iochroma cyaneum,Iochroma gesnerioides,no,no,Iochroma,1.0,1.0,0.04,0.15,,,0.8265,seed set,False,True,iochroma cyaneum,iochroma gesnerioides,iochroma cyaneum || iochroma gesnerioides,368.7,264.7,1.0,1.0,woody,woody,outcrossing,outcrossing,1.0,1.0,0.023179,0.023179,0.023179,True,True,True,2.4947135394537323,0.14391919630476835,0.14391919630476835,1.0
Convolvulaceae,Ipomoea,Ipomoea cavalcantei,Ipomoea marabensis,no,no,Ipomoea01,82.0,85.0,80.0,85.0,,,0.006,seed set,False,True,ipomoea cavalcantei,ipomoea marabensis,ipomoea cavalcantei || ipomoea marabensis,4.0,4.0,1.0,1.0,perennial,perennial,outcrossing,outcrossing,1.0,1.0,0.014122,0.014122,0.014122,True,True,True,0.6020599913279624,0.0,0.0,1.0
Convolvulaceae,Ipomoea,Ipomoea cordatotriloba,Ipomoea lacunosa,no,no,Ipomoea02,1.63,1.91,0.0748,0.0658,,,0.9236,seed set,False,True,ipomoea cordatotriloba,ipomoea lacunosa,ipomoea cordatotriloba || ipomoea lacunosa,4.0,4.0,1.0,1.0,annual,annual,mixed-mating,selfing,1.0,1.0,0.007733,0.007733,0.007733,True,True,True,0.6020599913279624,0.0,0.0,1.0
