replicate,species_i,species_j,tip_i,tip_j,state_i,state_j,divergence_time,ovules_i,ovules_j,logO_i,logO_j,K_i,K_j,logK_i,logK_j,delta_logK_i_minus_j,delta_logO_j_minus_i,filter_i,filter_j,mismatch_D,Rpre_i_from_j,Rpre_j_from_i,asym_i_minus_j,Rpost,BDM_count,N_seed_i_from_j,N_seed_j_from_i,seeds_i_from_j,seeds_j_from_i,observed_Rpre_i_from_j,observed_Rpre_j_from_i,observed_asym_i_minus_j,N_post,post_success,observed_Rpost
0,sp_000,sp_001,0,1,few,few,0.2822748182578914,55.21897849292296,47.790332880176464,4.011306707470398,3.866823378043449,1.517044303157246,1.4489741598204504,0.4167639043943015,0.37085583006735295,0.045908074326948545,-0.14448332942694897,0.9488614960126387,0.9607220714356193,0.37466440936350953,0.2991803020652388,0.30228765019601234,-0.003107348130773513,0.3934693402873666,2,552,478,361,301,0.34601449275362317,0.37029288702928875,-0.024278394275665582,50,33,0.33999999999999997
0,sp_000,sp_002,0,2,few,few,0.27806039641071206,55.21897849292296,38.05701448632556,4.011306707470398,3.6390854164981707,1.517044303157246,0.9884482777042505,0.4167639043943015,-0.011618961762417395,0.4283828661567189,-0.37222129097222734,0.9488614960126387,0.879203107825098,0.2585460122311019,0.21754929546664004,0.20332977600531976,0.014219519461320274,0.0,0,552,381,421,333,0.2373188405797102,0.12598425196850394,0.11133458861120626,50,50,0.0
0,sp_000,sp_003,0,3,few,many,0.6107927492157067,55.21897849292296,189.07736101153705,4.011306707470398,5.242156248833438,1.517044303157246,1.4415990854646437,0.4167639043943015,0.36575297348261454,0.05101093091168696,1.2308495413630398,0.9488614960126387,1.0283279574869248,0.4098695720681539,0.3222043619769891,0.3439251132228135,-0.0217207512458244,0.3934693402873666,2,552,1891,417,739,0.24456521739130432,0.6092014806980434,-0.36463626330673904,50,31,0.38
0,sp_000,sp_004,0,4,few,few,0.2822748182578914,55.21897849292296,46.60588723026038,4.011306707470398,3.841726868565267,1.517044303157246,1.1269215131711903,0.4167639043943015,0.1194895903709163,0.2972743140233852,-0.16957983890513129,0.9488614960126387,0.9104360270986837,0.24194704228765646,0.20512803888583797,0.19770371281607868,0.0074243260697592905,0.22119921692859512,1,552,466,403,377,0.26992753623188404,0.1909871244635193,0.07894041176836475,50,35,0.30000000000000004
0,sp_000,sp_005,0,5,few,few,0.27806039641071206,55.21897849292296,46.75254774196806,4.011306707470398,3.844868751404177,1.517044303157246,1.1442602873634642,0.4167639043943015,0.13475839099707673,0.2820055133972248,-0.16643795606622103,0.9488614960126387,0.8649673360105676,0.24736077138088608,0.20920073062107358,0.1926185028862203,0.016582227734853294,0.0,0,552,468,485,353,0.12137681159420288,0.24572649572649574,-0.12434968413229286,50,50,0.0
0,sp_000,sp_006,0,6,few,few,1.0,55.21897849292296,67.49080917953832,4.011306707470398,4.211991428304692,1.517044303157246,0.8909719001237568,0.4167639043943015,-0.11544238946795159,0.532206293862253,0.20068472083429434,0.9488614960126387,1.0005547337365153,0.5135157524328234,0.38568983587226047,0.4017823433631248,-0.016092507490864327,0.6321205588285577,4,552,675,285,528,0.4836956521739131,0.21777777777777774,0.26591787439613535,50,22,0.56
0,sp_000,sp_007,0,7,few,many,0.6107927492157067,55.21897849292296,119.87541896495992,4.011306707470398,4.786453028212802,1.517044303157246,0.8530413326679619,0.4167639043943015,-0.1589472770161395,0.575711181410441,0.7751463207424036,0.9488614960126387,0.7622087218446617,0.3613196131559079,0.29024984743834537,0.24073237415948134,0.04951747327886402,0.0,0,552,1199,366,957,0.3369565217391305,0.2018348623853211,0.13512165935380938,50,50,0.0
0,sp_000,sp_008,0,8,few,few,0.0028497704650563786,55.21897849292296,60.09341528083256,4.011306707470398,4.095900272823797,1.517044303157246,1.6788848685926459,0.4167639043943015,0.5181298043283422,-0.10136589993404072,0.08459356535339868,0.9488614960126387,1.1314659108554372,0.29464391593172523,0.24389594006787352,0.28350180199795083,-0.03960586193007731,0.0,0,552,601,399,444,0.27717391304347827,0.2612312811980033,0.015942631845474953,50,50,0.0
0,sp_000,sp_009,0,9,few,few,0.6107927492157067,55.21897849292296,27.129997466497635,4.011306707470398,3.3006400332870407,1.517044303157246,1.7024825750578358,0.4167639043943015,0.5320875240745194,-0.11532361968021793,-0.7106666741833574,0.9488614960126387,1.0754459447377163,0.5282772322800149,0.39423425371488063,0.43341808307174345,-0.03918382935686282,0.0,0,552,271,335,127,0.3931159420289855,0.5313653136531366,-0.13824937162415107,50,50,0.0
0,sp_000,sp_010,0,10,few,few,0.6107927492157067,55.21897849292296,16.23070419672184,4.011306707470398,2.7869047691694595,1.517044303157246,2.233235783986366,0.4167639043943015,0.8034515579627888,-0.3866876535684873,-1.2244019383009386,0.9488614960126387,1.136683015446679,0.4118853231824608,0.32349952142293825,0.37386110229318625,-0.050361580870248,0.22119921692859512,1,552,162,329,76,0.40398550724637683,0.5308641975308642,-0.1268786902844874,50,37,0.26
