family,retained_pairs,reciprocal_inter_pairs,directional_RI_pairs,asymmetry_pairs_with_ovules,asymmetry_pairs_with_nonzero_ovule_difference,unique_signed_log10_ovule_differences,high_confidence_asymmetry_pairs_conf_le_2,high_confidence_nonzero_ovule_difference,unique_high_confidence_signed_log10_ovule_differences,strict_PI_K2P_asymmetry_pairs,strict_PI_K2P_high_confidence_pairs,species_in_reciprocal_pairs,species_in_asymmetry_ovule_pairs,genera_in_asymmetry_ovule_pairs,top_genus_in_asymmetry_set,top_genus_asymmetry_pairs,top_genus_share_of_asymmetry_pairs,asymmetry_pair_network_density_within_family_species,max_times_one_species_reused_in_asymmetry_pairs,family_has_at_least_2_asymmetry_pairs_and_2_ovule_differences,family_has_at_least_3_asymmetry_pairs_and_2_ovule_differences,family_has_at_least_5_asymmetry_pairs_and_2_ovule_differences
Fagaceae,4,4,4,4,0,1,4,0,1,1,1,5,5,1,Quercus,4,1.0,0.4,2,False,False,False
Orchidaceae,30,22,22,3,2,3,2,2,2,3,2,34,6,3,Cattleya,1,0.3333333333333333,0.2,1,True,True,False
Ranunculaceae,27,14,14,3,3,3,3,3,3,1,1,11,4,1,Aquilegia,3,1.0,0.5,3,True,True,False
Gesneriaceae,5,5,5,3,3,3,0,0,0,2,0,7,6,2,Cyrtandra,2,0.6666666666666666,0.2,1,True,True,False
Brassicaceae,42,4,4,3,3,3,3,3,3,3,3,8,6,3,Boechera,1,0.3333333333333333,0.2,1,True,True,False
Caryophyllaceae,26,4,4,3,3,3,3,3,3,1,1,8,6,3,Dianthus,1,0.3333333333333333,0.2,1,True,True,False
Betulaceae,3,3,3,3,0,1,3,0,1,1,1,3,3,1,Ostryopsis,3,1.0,1.0,2,False,False,False
Gentianaceae,4,3,3,3,3,3,3,3,3,1,1,3,3,1,Centaurium,3,1.0,1.0,2,True,True,False
Oxalidaceae,6,3,3,3,2,3,3,2,3,1,1,6,6,1,Oxalis,3,1.0,0.2,1,True,True,False
Plantaginaceae,3,3,3,3,3,3,2,2,2,2,1,6,6,2,Antirrhinum,2,0.6666666666666666,0.2,1,True,True,False
