family,genus,species1,species2,pair_key,PI_name,is_PI_from_PI_name,measure,intraspecific_value_sp1,intraspecific_value_sp2,interspecific_value_sp1_sp2,interspecific_value_sp2_sp1,has_directional_RI_inputs,directional_RI_sp1_mother,directional_RI_sp2_mother,directional_RI_asymmetry_sp1_minus_sp2,ovule_sp1,ovule_sp2,confidence_sp1,confidence_sp2,has_both_ovules,both_confidence_le_2,signed_log10_ovule_ratio_sp1_minus_sp2,abs_log10_ovule_difference,nonzero_ovule_difference,has_K2P,K2P_Distance,asymmetry_model_ready,asymmetry_model_ready_confidence_le_2,strict_PI_K2P_asymmetry_ready
Ranunculaceae,Aquilegia,Aquilegia ecalcarata,Aquilegia japonica,aquilegia ecalcarata || aquilegia japonica,,False,seed set,71.4,69.8,60.0,52.6,True,0.1596638655462186,0.24641833810888247,-0.08675447256266389,17.89,,1.0,4.0,False,False,,,False,False,,False,False,False
Ranunculaceae,Aquilegia,Aquilegia ecalcarata,Aquilegia longissima,aquilegia ecalcarata || aquilegia longissima,,False,seed set,71.4,65.7,26.5,23.4,True,0.6288515406162465,0.6438356164383562,-0.0149840758221097,17.89,,1.0,4.0,False,False,,,False,False,,False,False,False
Ranunculaceae,Aquilegia,Aquilegia elegantula,Aquilegia flabellata,aquilegia elegantula || aquilegia flabellata,Aquilegia03,True,seed set,62.6,77.5,44.5,42.2,True,0.2891373801916933,0.4554838709677419,-0.16634649077604857,,,4.0,4.0,False,False,,,False,True,0.008243,False,False,False
Ranunculaceae,Aquilegia,Aquilegia flabellata,Aquilegia chrysantha,aquilegia chrysantha || aquilegia flabellata,,False,seed set,77.5,51.4,38.4,38.5,True,0.5045161290322581,0.2509727626459144,0.25354336638634367,,,4.0,4.0,False,False,,,False,False,,False,False,False
Ranunculaceae,Aquilegia,Aquilegia japonica,Aquilegia formosa,aquilegia formosa || aquilegia japonica,,False,seed set,69.8,59.8,44.3,41.4,True,0.36532951289398286,0.3076923076923077,0.057637205201675146,,33.0,4.0,1.0,False,False,,,False,False,,False,False,False
Araceae,Arisaema,Arisaema bockii,Arisaema lobatum,arisaema bockii || arisaema lobatum,Arisaema,True,seed set,49.82,37.61,20.93,29.83,True,0.5798875953432356,0.20685987769210323,0.3730277176511324,4.0,4.5,3.0,3.0,True,False,-0.05115252244738133,0.05115252244738133,True,True,0.059404,True,False,True
Araceae,Arisaema,Arisaema lobatum,Arisaema erubescens,arisaema erubescens || arisaema lobatum,,False,seed set,37.61,42.76,26.54,48.72,True,0.2943366126030311,-0.13938260056127216,0.4337192131643033,4.5,4.5,3.0,3.0,True,False,0.0,0.0,False,False,,True,False,False
Boraginaceae,Arnebia,Arnebia guttata,Arnebia szechenyi,arnebia guttata || arnebia szechenyi,Arnebia,True,seed set,,,0.0,0.0,False,,,,4.0,4.0,1.0,1.0,True,True,0.0,0.0,False,True,0.105286,False,False,False
Apocynaceae,Asclepias,Asclepias perennis,Asclepias incarnata,asclepias incarnata || asclepias perennis,Asclepias,True,seed set,486.54,,0.0,0.0,False,,,,43.8,58.2,1.0,1.0,True,True,-0.12344887414578909,0.12344887414578909,True,False,,False,False,False
Apocynaceae,Asclepias,Asclepias perennis,Asclepias curassavica,asclepias curassavica || asclepias perennis,,False,seed set,486.54,,0.0,0.0,False,,,,43.8,116.5,1.0,1.0,True,True,-0.4248518148579381,0.4248518148579381,True,False,,False,False,False
Apocynaceae,Asclepias,Asclepias perennis,Asclepias texana,asclepias perennis || asclepias texana,,False,seed set,486.54,,1091.4,544.5,False,,,,43.8,48.8,1.0,1.0,True,True,-0.04694571149861093,0.04694571149861093,True,False,,False,False,False
Apocynaceae,Asclepias,Asclepias texana,Asclepias incarnata,asclepias incarnata || asclepias texana,,False,seed set,776.25,,0.0,0.0,False,,,,48.8,58.2,1.0,1.0,True,True,-0.07650316264717816,0.07650316264717816,True,False,,False,False,False
Asteraceae,Bidens,Bidens carpodonta,Bidens longistyla,bidens carpodonta || bidens longistyla,Bidens,True,seed set,100.0,100.0,0.0,0.0,True,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True,True,0.0,0.0,False,False,,True,True,False
Asteraceae,Bidens,Bidens ferulifolia,Bidens carpodonta,bidens carpodonta || bidens ferulifolia,,False,seed set,100.0,100.0,0.0,0.0,True,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True,True,0.0,0.0,False,False,,True,True,False
Asteraceae,Bidens,Bidens ferulifolia,Bidens longistyla,bidens ferulifolia || bidens longistyla,,False,seed set,100.0,100.0,0.0,0.0,True,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True,True,0.0,0.0,False,False,,True,True,False
Brassicaceae,Boechera,Boechera stricta,Boechera retrofracta,boechera retrofracta || boechera stricta,Boechera,True,seed set,4.6,1.4,8.6,0.15,True,-0.8695652173913044,0.8928571428571428,-1.7624223602484472,163.0,88.0,1.0,1.0,True,True,0.267704932253789,0.267704932253789,True,True,0.007722,True,True,True
Scrophulariaceae,Buddleja,Buddleja crispa,Buddleja officinalis,buddleja crispa || buddleja officinalis,Buddleja,True,seed number per fruit,22.27,59.15,5.44,0.0,True,0.7557251908396947,1.0,-0.2442748091603053,173.60714,139.458,1.0,1.0,True,True,0.09512414999073115,0.09512414999073115,True,True,0.291439,True,True,True
Loasaceae,Caiophora,Caiophora carduifolia,Caiophora canarinoides,caiophora canarinoides || caiophora carduifolia,,False,fruit set,0.4,0.8,0.4,0.75,True,0.0,0.0625,-0.0625,,,4.0,4.0,False,False,,,False,False,,False,False,False
Loasaceae,Caiophora,Caiophora carduifolia,Caiophora cirsiifolia,caiophora carduifolia || caiophora cirsiifolia,,False,fruit set,0.4,0.942857143,0.45,0.866666667,True,-0.125,0.08080808059381706,-0.20580808059381706,,,4.0,4.0,False,False,,,False,False,,False,False,False
Loasaceae,Caiophora,Caiophora chuquitensis,Caiophora cirsiifolia,caiophora chuquitensis || caiophora cirsiifolia,,False,fruit set,0.8,0.942857143,1.0,1.0,True,-0.25,-0.06060606044536265,-0.18939393955463735,,,4.0,4.0,False,False,,,False,False,,False,False,False
Loasaceae,Caiophora,Caiophora cirsiifolia,Caiophora canarinoides,caiophora canarinoides || caiophora cirsiifolia,,False,fruit set,0.942857143,0.8,1.0,0.75,True,-0.06060606044536265,0.0625,-0.12310606044536265,,,4.0,4.0,False,False,,,False,False,,False,False,False
Loasaceae,Caiophora,Caiophora cirsiifolia,Caiophora madrequisa,caiophora cirsiifolia || caiophora madrequisa,,False,fruit set,0.942857143,0.5,1.0,0.3333333,True,-0.06060606044536265,0.3333334,-0.39393946044536265,,,4.0,4.0,False,False,,,False,False,,False,False,False
Loasaceae,Caiophora,Caiophora cirsiifolia,Caiophora pentlandii,caiophora cirsiifolia || caiophora pentlandii,,False,fruit set,0.942857143,0.8,1.0,0.8,True,-0.06060606044536265,0.0,-0.06060606044536265,,,4.0,4.0,False,False,,,False,False,,False,False,False
Loasaceae,Caiophora,Caiophora deserticola,Caiophora canarinoides,caiophora canarinoides || caiophora deserticola,,False,fruit set,0.4,0.8,0.2,0.8,True,0.5,0.0,0.5,,,4.0,4.0,False,False,,,False,False,,False,False,False
Loasaceae,Caiophora,Caiophora deserticola,Caiophora chuquitensis,caiophora chuquitensis || caiophora deserticola,,False,fruit set,0.4,0.8,0.4,1.0,True,0.0,-0.25,0.25,,,4.0,4.0,False,False,,,False,False,,False,False,False
Loasaceae,Caiophora,Caiophora deserticola,Caiophora cirsiifolia,caiophora cirsiifolia || caiophora deserticola,,False,fruit set,0.4,0.942857143,0.666666667,0.866666667,True,-0.6666666674999999,0.08080808059381706,-0.747474748093817,,,4.0,4.0,False,False,,,False,False,,False,False,False
Loasaceae,Caiophora,Caiophora deserticola,Caiophora madrequisa,caiophora deserticola || caiophora madrequisa,,False,fruit set,0.4,0.5,0.6,0.2,True,-0.4999999999999998,0.6,-1.0999999999999996,,,4.0,4.0,False,False,,,False,False,,False,False,False
Loasaceae,Caiophora,Caiophora deserticola,Caiophora pentlandii,caiophora deserticola || caiophora pentlandii,,False,fruit set,0.4,0.8,0.0,0.8,True,1.0,0.0,1.0,,,4.0,4.0,False,False,,,False,False,,False,False,False
Brassicaceae,Cakile,Cakile maritima,Cakile edentula,cakile edentula || cakile maritima,Cakile,True,seed set,0.75,0.67,0.85,0.68,True,-0.1333333333333333,-0.014925373134328401,-0.1184079601990049,3.1,2.0,1.0,1.0,True,True,0.1903316981702915,0.1903316981702915,True,True,0.00444,True,True,True
Calceolariaceae,Calceolaria,Calceolaria arachnoidea,Calceolaria filicaulis,calceolaria arachnoidea || calceolaria filicaulis,Calceolaria,True,seed number per fruit,303.35,453.62,25.97,117.75,True,0.9143893192681721,0.7404214981702747,0.17396782109789743,405.0,558.0,3.0,3.0,True,False,-0.13917917572290994,0.13917917572290994,True,True,0.089405,True,False,True
Asteraceae,Calendula,Calendula palaestina,Calendula pachysperma,calendula pachysperma || calendula palaestina,Calendula,True,seed set,2.8,7.0,2.3,2.4,True,0.1785714285714286,0.6571428571428571,-0.47857142857142854,1.0,1.0,1.0,1.0,True,True,0.0,0.0,False,False,,True,True,False
Casuarinaceae,Casuarina,Casuarina equisetifolia,Casuarina cristata,casuarina cristata || casuarina equisetifolia,Casuarina,True,seed set,,0.028,0.19033099,0.0,False,,,,1.5,2.0,1.0,2.0,True,True,-0.12493873660829996,0.12493873660829996,True,False,,False,False,False
Casuarinaceae,Casuarina,Casuarina equisetifolia,Casuarina junghuhniana,casuarina equisetifolia || casuarina junghuhniana,,False,seed set,,0.18075496,0.23552041,0.05973767,False,,,,1.5,2.0,1.0,2.0,True,True,-0.12493873660829996,0.12493873660829996,True,False,,False,False,False
Casuarinaceae,Casuarina,Casuarina junghuhniana,Casuarina cristata,casuarina cristata || casuarina junghuhniana,,False,seed set,0.18075496,0.028,0.06722352,0.0,True,0.6280958486561032,1.0,-0.37190415134389676,2.0,2.0,2.0,2.0,True,True,0.0,0.0,False,False,,True,True,False
Orchidaceae,Cattleya,Cattleya sincorana,Cattleya pfisteri,cattleya pfisteri || cattleya sincorana,Cattleya,True,seed set,0.3784,0.441,0.06916,0.253708,True,0.8172304439746301,0.4246984126984127,0.3925320312762174,3500000.0,3500000.0,4.0,4.0,True,False,0.0,0.0,False,True,0.043864,True,False,True
Gentianaceae,Centaurium,Centaurium erythraea,Centaurium pulchellum,centaurium erythraea || centaurium pulchellum,Centaurium,True,seed set,0.867,0.89,0.349,0.404,True,0.5974625144175317,0.5460674157303371,0.05139509868719461,306.05,271.5,1.0,1.0,True,True,0.05202254991034039,0.05202254991034039,True,True,0.051814,True,True,True
Gentianaceae,Centaurium,Centaurium erythraea,Centaurium littorale,centaurium erythraea || centaurium littorale,,False,seed set,0.867,0.845,0.48,0.8,True,0.4463667820069205,0.053254437869822424,0.39311234413709806,306.05,233.5,1.0,1.0,True,True,0.11750549893307527,0.11750549893307527,True,False,,True,True,False
Gentianaceae,Centaurium,Centaurium littorale,Centaurium pulchellum,centaurium littorale || centaurium pulchellum,,False,seed set,0.845,0.89,0.725,0.297,True,0.14201183431952658,0.6662921348314608,-0.5242803005119342,233.5,271.5,1.0,1.0,True,True,-0.06548294902273488,0.06548294902273488,True,False,,True,True,False
Fabaceae,Chamaecrista,Chamaecrista blanchetii,Chamaecrista confertiformis,chamaecrista blanchetii || chamaecrista confertiformis,,False,seed set,2.128,0.625,0.2057,0.039,True,0.9033364661654135,0.9376,-0.03426353383458647,12.0,10.5,1.0,1.0,True,True,0.05799194697768684,0.05799194697768684,True,False,,True,True,False
Fabaceae,Chamaecrista,Chamaecrista chapadae,Chamaecrista glaucofilix,chamaecrista chapadae || chamaecrista glaucofilix,Chamaecrista,True,seed set,0.3572,2.2752,0.0805,0.0,True,0.774636058230683,1.0,-0.22536394176931696,7.5,7.5,1.0,1.0,True,True,0.0,0.0,False,True,0.134371,True,True,True
